#,STATUT,MARCHE FR,VRAIE BRAND ?,PRODUIT,BOUTIQUE,PAYS DE LEURS PUBS (%),x4 SEM.,ADS,COURBE 5 SEMAINES,PRIX,SKU,MARGE x3-x4 ?,A VERIFIER,LE VERDICT,TON VERDICT,TES NOTES,LIEN
19,🔴 BANGER,⬜ a verifier,🔵 OUI,Variety Pack,k2o.com,US 100%,428,428,1 > 36 > 271 > 408 > 428,39.99 USD,9,a calculer,,"🟢 PRIORITE. x428.0 en 4 sem., 428 ads, 5 sem. de diffusion - vraie brand (>=150). Fais le controle FR.",,,https://k2o.com
44,🔴 BANGER,⬜ a verifier,🔵 OUI,Women's Short-sleeve denim Two-piece set,ladygo-4740.myshopify.com,"US 53%, CA 47%",180,358,1 > 2 > 2 > 1 > 180,54.99 USD,13,a calculer,,"🟢 PRIORITE. x180.0 en 4 sem., 358 ads - vraie brand (>=150). Fais le controle FR.",,,https://ladygo-4740.myshopify.com
7,🔴 BANGER,⬜ a verifier,🔵 OUI,Wildnest heel,getwildnest.com,"NZ 21%, CA 21%, GB 21%, AU 20%, US 18%",123.8,625,5 > 62 > 264 > 549 > 619,25.99 USD,2,a calculer,,"🟢 PRIORITE. x123.8 en 4 sem., 625 ads, 5 sem. de diffusion - vraie brand (>=150). Fais le controle FR.",,,https://getwildnest.com
20,🔴 BANGER,🟨 PARTIEL,🔵 OUI,FacileNotte® piumone – Il piumone 2 in 1 ad asciugatura rapid,comodea-home.com,IT 100%,95.3,288,3 > 34 > 166 > 262 > 286,79.99 EUR,4,a calculer,,"🟢 PRIORITE. x95.3 en 4 sem., 288 ads, 5 sem. de diffusion - vraie brand (>=150). Fais le controle FR.",,,https://comodea-home.com
27,🔴 BANGER,⬜ a verifier,⬜ non,Färganpassande foundation,get-lambrie.com,"IT 40%, SE 32%, FR 28%",52,52,1 > 10 > 24 > 45 > 52,385 SEK,6,a calculer,diffuse deja en FR 28% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://get-lambrie.com
8,🔴 BANGER,🟥 PRIS,🔵 OUI,Attelle™ EMS Hallux Valgus,orveline.quebec,"FR 47%, BE 18%, LU 15%, CA 15%",50.2,481,9 > 51 > 127 > 307 > 452,49.99 EUR,4,a calculer,diffuse deja en FR 47% - ouvre leur ad library,"🔴 FR PRIS. Vise ES/DE/IT/GB, et lis leurs ads avant.",,,https://orveline.quebec
2,🔴 BANGER,🟨 PARTIEL,🔵 OUI,FaithGate™ Complete Ethiopian Bible,faithgate.co,US 100%,40.3,263,9 > 2 > 228 > 623 > 363,39.99 USD,2,a calculer,,"🟢 PRIORITE. x40.3 en 4 sem., 263 ads, 6 sem. de diffusion - vraie brand (>=150). Fais le controle FR.",,,https://faithgate.co
32,🔴 BANGER,⬜ a verifier,🔵 OUI,Revotín Repair Spray — Eliminates Thinning Hair,revotin.com,US 100%,25.3,338,13 > 124 > 201 > 264 > 329,44.95 USD,3,a calculer,,"🟢 PRIORITE. x25.3 en 4 sem., 338 ads - vraie brand (>=150). Fais le controle FR.",,,https://revotin.com
3,🔴 BANGER,⬜ a verifier,🔵 OUI,El Avance para el Alivio de la Circulación,tryallevora.com,"ES 50%, US 50%",25.2,150,5 > 2 > 13 > 59 > 126,34.99 USD,1,a calculer,,"🟢 PRIORITE. x25.2 en 4 sem., 150 ads - vraie brand (>=150). Fais le controle FR.",,,https://tryallevora.com
9,🔴 BANGER,⬜ a verifier,⬜ non,ShowerHour® Lamp,showerhour.shop,"AU 22%, NZ 21%, CA 21%, US 20%, GB 17%",18.3,70,3 > 55,29.99 USD,2,a calculer,,"🟢 PRIORITE. x18.3 en 4 sem., 70 ads, 2 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://showerhour.shop
10,🔴 BANGER,⬜ a verifier,⬜ non,TrueForm® Fascial Release,myseese.com,"US 26%, AU 26%, CA 26%, GB 22%",17,53,3 > 31 > 51,69.99 USD,1,a calculer,,"🟢 PRIORITE. x17.0 en 4 sem., 53 ads, 3 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://myseese.com
11,🔴 BANGER,⬜ a verifier,⬜ non,ChristmasCheer™ DIY Beaded Tree Kit,thankimals.com,US 100%,16.7,50,3 > 11 > 29 > 42 > 50,39.99 USD,1,a calculer,,"🟢 PRIORITE. x16.7 en 4 sem., 50 ads, 6 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://thankimals.com
1,🔴 BANGER,🟩 LIBRE,🔵 OUI,Canor Studio Summer 4k Digital Camera,canorstudios.com,non indexe,15.1,743,49 > 27 > 219 > 668 > 742,38.99 USD,2,a calculer,pays de diffusion non indexes - marches libres inconnus,"🟢🟢 FONCE. Marche FR libre, x15.1 en 4 sem., 743 ads, 6 sem. de diffusion.",,,https://canorstudios.com
68,🔴 BANGER,⬜ a verifier,⬜ non,14-in-1 Advanced Eye Formula,itzmouvre.com,US 100%,14.7,88,7 > 5 > 40 > 100 > 103,39.99 USD,7,a calculer,,"🟢 PRIORITE. x14.7 en 4 sem., 88 ads - lancement frais (50-149). Fais le controle FR.",,,https://itzmouvre.com
12,🔴 BANGER,⬜ a verifier,⬜ non,The 15-Day Bladder Control Transformation (E-book),senseroots.com,"AU 21%, CA 21%, US 21%, NZ 20%, GB 16%",13.2,119,9 > 35 > 73 > 108 > 119,12 USD,3,a calculer,,"🟢 PRIORITE. x13.2 en 4 sem., 119 ads, 6 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://senseroots.com
33,🔴 BANGER,🟨 PARTIEL,🔵 OUI,DulceSueño® — La sábana 2 en 1 de secado rápido que elimina la,cosalia-home.com,ES 100%,10.6,228,26 > 73 > 199 > 286 > 275,79.99 EUR,6,a calculer,,"🟢 PRIORITE. x10.6 en 4 sem., 228 ads - vraie brand (>=150). Fais le controle FR.",,,https://cosalia-home.com
